datetime,station_antwerp,station_paris,station_london,london_mg_per_cubic
2019-05-07 03:00:00,50.5,25.0,19.0,35.757999999999996
2019-05-07 04:00:00,45.0,27.7,19.0,35.757999999999996
2019-05-08 03:00:00,23.0,19.6,20.0,37.64
2019-05-08 04:00:00,20.5,15.3,20.0,37.64
2019-05-09 03:00:00,20.0,10.6,31.0,58.342
2019-05-09 04:00:00,20.5,10.0,31.0,58.342
2019-05-10 03:00:00,10.5,19.1,41.0,77.16199999999999
2019-05-10 04:00:00,11.5,14.1,41.0,77.16199999999999
2019-05-11 03:00:00,26.5,15.5,32.0,60.224
2019-05-11 04:00:00,21.0,14.9,32.0,60.224
2019-05-12 03:00:00,17.5,19.2,38.0,71.51599999999999
2019-05-12 04:00:00,20.0,17.2,38.0,71.51599999999999
2019-05-13 03:00:00,14.5,18.9,24.0,45.168
2019-05-13 04:00:00,14.5,18.5,24.0,45.168
2019-05-14 03:00:00,14.5,19.1,26.0,48.931999999999995
2019-05-14 04:00:00,11.5,19.0,26.0,48.931999999999995
2019-05-15 03:00:00,25.5,17.2,22.0,41.403999999999996
2019-05-15 04:00:00,22.5,16.8,22.0,41.403999999999996
2019-05-16 03:00:00,28.0,26.0,28.0,52.696
2019-05-18 03:00:00,41.5,37.4,31.0,58.342
2019-05-18 20:00:00,35.5,14.5,36.0,67.752
2019-05-18 21:00:00,35.5,67.5,35.0,65.86999999999999
2019-05-18 22:00:00,40.0,36.2,41.0,77.16199999999999
2019-05-18 23:00:00,39.0,59.3,46.0,86.57199999999999
2019-05-19 00:00:00,34.5,62.5,46.0,86.57199999999999
2019-05-19 01:00:00,29.5,50.2,49.0,92.21799999999999
2019-05-19 02:00:00,23.5,49.6,49.0,92.21799999999999
2019-05-19 03:00:00,22.5,34.9,49.0,92.21799999999999
2019-05-19 04:00:00,19.0,38.1,49.0,92.21799999999999
2019-05-19 05:00:00,19.0,36.4,49.0,92.21799999999999
2019-05-19 06:00:00,21.0,39.4,49.0,92.21799999999999
2019-05-19 07:00:00,26.0,40.9,38.0,71.51599999999999
2019-05-19 08:00:00,30.5,31.1,36.0,67.752
2019-05-19 09:00:00,30.0,32.4,33.0,62.105999999999995
2019-05-19 10:00:00,23.5,31.7,30.0,56.459999999999994
2019-05-19 11:00:00,16.0,33.0,27.0,50.814
2019-05-19 12:00:00,17.5,31.0,28.0,52.696
2019-05-19 13:00:00,17.0,32.6,25.0,47.05
2019-05-19 14:00:00,16.0,27.9,27.0,50.814
2019-05-19 15:00:00,14.5,21.0,31.0,58.342
2019-05-19 16:00:00,23.0,23.8,29.0,54.577999999999996
2019-05-19 17:00:00,33.0,31.7,28.0,52.696
2019-05-19 18:00:00,17.5,32.5,27.0,50.814
2019-05-19 19:00:00,18.5,33.9,29.0,54.577999999999996
2019-05-19 20:00:00,15.5,32.7,30.0,56.459999999999994
2019-05-19 21:00:00,26.0,51.2,32.0,60.224
2019-05-19 22:00:00,15.0,35.6,32.0,60.224
2019-05-19 23:00:00,12.5,23.2,32.0,60.224
2019-05-20 00:00:00,18.5,22.2,32.0,60.224
2019-05-20 01:00:00,16.5,18.8,28.0,52.696
2019-05-20 02:00:00,26.0,16.4,28.0,52.696
2019-05-20 03:00:00,17.0,12.8,32.0,60.224
2019-05-20 04:00:00,10.5,12.1,32.0,60.224
2019-05-20 05:00:00,9.0,12.6,26.0,48.931999999999995
2019-05-20 06:00:00,14.0,14.9,26.0,48.931999999999995
2019-05-20 07:00:00,20.0,25.2,31.0,58.342
2019-05-20 08:00:00,26.0,40.1,31.0,58.342
2019-05-20 09:00:00,38.0,46.9,29.0,54.577999999999996
2019-05-20 10:00:00,40.0,46.1,29.0,54.577999999999996
2019-05-20 11:00:00,30.5,45.5,28.0,52.696
2019-05-20 12:00:00,25.0,43.9,28.0,52.696
2019-05-20 13:00:00,25.0,35.4,28.0,52.696
2019-05-20 14:00:00,34.5,23.8,29.0,54.577999999999996
2019-05-20 15:00:00,32.0,23.7,32.0,60.224
2019-05-20 16:00:00,24.5,27.5,32.0,60.224
2019-05-20 17:00:00,25.5,26.5,29.0,54.577999999999996
2019-05-21 03:00:00,15.5,16.3,26.0,48.931999999999995
2019-05-22 03:00:00,20.5,27.9,27.0,50.814
2019-05-23 03:00:00,60.5,53.1,20.0,37.64
2019-05-24 03:00:00,74.5,28.8,31.0,58.342
2019-05-25 03:00:00,29.0,12.8,25.0,47.05
2019-05-26 03:00:00,53.0,49.8,26.0,48.931999999999995
2019-05-27 03:00:00,10.5,7.1,24.0,45.168
2019-05-28 03:00:00,11.0,8.2,16.0,30.112
2019-05-29 03:00:00,21.0,21.6,23.0,43.285999999999994
2019-05-30 03:00:00,7.5,12.4,0.0,0.0
2019-05-31 03:00:00,9.0,36.9,12.0,22.584
2019-06-01 03:00:00,52.5,74.8,16.0,30.112
2019-06-05 03:00:00,15.0,10.8,4.0,7.528
2019-06-09 03:00:00,10.0,41.0,7.0,13.174
2019-06-10 03:00:00,18.5,19.3,25.0,47.05
2019-06-11 03:00:00,7.5,19.1,16.0,30.112
2019-06-13 03:00:00,28.5,18.7,26.0,48.931999999999995
2019-06-14 11:00:00,36.5,27.9,13.0,24.465999999999998
2019-06-16 03:00:00,42.5,12.8,12.0,22.584
2019-06-17 03:00:00,42.0,58.8,14.0,26.348
2019-06-17 04:00:00,35.5,53.1,14.0,26.348
2019-06-17 05:00:00,36.0,49.1,11.0,20.701999999999998
2019-06-17 06:00:00,39.5,45.7,11.0,20.701999999999998
2019-06-17 07:00:00,42.5,44.8,12.0,22.584
2019-06-17 08:00:00,43.5,52.3,13.0,24.465999999999998
2019-06-17 09:00:00,45.0,54.4,13.0,24.465999999999998
2019-06-17 10:00:00,41.0,51.6,11.0,20.701999999999998
